team,year,elo,win_rate_last20,goals_scored_avg,goals_conceded_avg,matches_played,wc_win_rate,wc_appearances,squad_value,won_tournament
England,2022,1935.7279444671426,0.55,2.45,0.75,20,0.5931372549019608,48,1903043682.303933,0
Ecuador,2022,1799.7182051378772,0.35,0.95,0.6,20,0.3435897435897436,35,1862653353.0688949,0
Germany,2022,1926.4293215909784,0.55,2.6,0.95,20,0.6933333333333334,47,1905318946.410776,0
Canada,2022,1762.190003556528,0.55,1.7,0.7,20,0.4375,17,1764245515.0683112,0
Croatia,2022,1884.007996240192,0.6,1.8,0.95,20,0.5575221238938053,21,1884263933.254832,0
United States,2022,1829.2011848241152,0.5,1.55,0.65,20,0.4715909090909091,33,1780663065.4049954,0
Belgium,2022,1941.618383399786,0.55,1.95,1.2,20,0.5369458128078818,49,1848111325.714746,0
Morocco,2022,1793.5294906157144,0.7,2.15,0.7,20,0.46710526315789475,39,1916292488.93281,0
Mexico,2022,1793.3034645226965,0.4,1.15,0.9,20,0.547085201793722,41,1820503942.834357,0
Netherlands,2022,1976.0194696885687,0.75,2.6,0.85,20,0.6218905472636815,45,1884759199.6093023,0
Wales,2022,1773.0775242070192,0.3,1.25,1.25,20,0.3402777777777778,37,1713278452.8990755,0
Argentina,2022,2040.9608718836892,0.8,2.3,0.25,20,0.5534351145038168,47,2005974864.9912755,1
Spain,2022,1984.3737309180647,0.65,2.1,0.85,20,0.6119402985074627,48,2003442756.9298823,0
Serbia,2022,1841.4765363431577,0.65,2.15,0.9,20,0.5425531914893617,19,1749862336.139636,0
Portugal,2022,1938.6871301187257,0.6,2.2,0.75,20,0.538860103626943,44,1914541051.7716365,0
Switzerland,2022,1855.8077051942355,0.4,1.4,1.2,20,0.45263157894736844,48,1853401064.2671475,0
Cameroon,2022,1679.941390731394,0.55,1.55,0.85,20,0.5075757575757576,34,1664050764.727213,0
Japan,2022,1829.2321811121396,0.6,1.6,0.6,20,0.56353591160221,34,1918447363.2088287,0
Saudi Arabia,2022,1698.7321648241195,0.3,0.6,0.65,20,0.5284090909090909,29,1689909014.2060752,0
Australia,2022,1775.3932705070156,0.65,1.75,0.6,20,0.5463917525773195,33,1820789700.122896,0
